timestamp,lowPrice,bidPrice,lastPrice,askPrice,highPrice,weightedAvgPrice,priceChangePercent,bidQty,lastQty,askQty,volume
2018/11/16_23:02:30,0.0312,0.031275,0.031284,0.031284,0.032197,0.03163437,-2.225,1.276,1.593,0.324,169509.36
2018/11/16_23:03:00,0.0312,0.031275,0.031285,0.031285,0.032197,0.03163402,-2.234,1.917,5.413,3.837,169430.691
2018/11/16_23:03:30,0.0312,0.031283,0.031283,0.031292,0.032197,0.03163368,-2.253,1.485,0.381,4.114,169365.249
2018/11/16_23:04:00,0.0312,0.03128,0.03128,0.031288,0.032197,0.03163348,-2.25,3.197,1.037,6.231,169397.224
2018/11/16_23:04:30,0.0312,0.031281,0.031282,0.03129,0.032197,0.03163337,-2.256,2.077,0.173,0.92,169386.607
2018/11/16_23:05:00,0.0312,0.03129,0.0313,0.0313,0.032197,0.031633,-2.194,2.076,2.5,11.107,169398.053
2018/11/16_23:05:30,0.0312,0.03129,0.0313,0.0313,0.032197,0.03163274,-2.224,1.975,0.301,10.321,169363.528
2018/11/16_23:06:00,0.0312,0.031294,0.031301,0.031306,0.032197,0.03163259,-2.224,10.0,0.508,0.23,169351.78
2018/11/16_23:06:30,0.0312,0.031301,0.031301,0.031323,0.032197,0.03163238,-2.221,0.529,1.545,0.515,169367.137
2018/11/16_23:07:00,0.0312,0.031311,0.031311,0.031319,0.032197,0.03163219,-2.233,0.339,0.264,10.0,169323.935
2018/11/16_23:08:00,0.0312,0.031302,0.03131,0.031311,0.032197,0.03163167,-2.22,10.0,0.056,0.093,169349.705
2018/11/16_23:08:30,0.0312,0.031284,0.031284,0.031295,0.032197,0.03163143,-2.308,1.191,0.885,0.495,169332.176
2018/11/16_23:09:00,0.0312,0.031281,0.031282,0.031291,0.032197,0.03163124,-2.244,0.378,1.746,2.635,169329.972
2018/11/16_23:09:30,0.0312,0.031282,0.031283,0.031284,0.032197,0.03163109,-2.274,4.0,0.88,0.001,169289.411
2018/11/16_23:10:00,0.0312,0.031273,0.031282,0.031282,0.032197,0.03163084,-2.299,0.83,1.05,0.235,169363.912
2018/11/16_23:10:30,0.0312,0.031258,0.031258,0.031277,0.032197,0.03163069,-2.368,9.724,4.798,1.818,169400.111
2018/11/16_23:11:00,0.0312,0.031258,0.031267,0.031267,0.032197,0.03163045,-2.181,1.07,3.256,0.105,169328.443
2018/11/16_23:11:30,0.0312,0.031272,0.031284,0.031284,0.032197,0.03163027,-2.124,2.141,0.05,0.316,169305.413
2018/11/16_23:12:00,0.0312,0.031279,0.031288,0.031288,0.032197,0.03163018,-2.005,2.141,2.265,2.265,169286.906
2018/11/16_23:12:30,0.0312,0.031272,0.031272,0.03129,0.032197,0.03163007,-2.107,2.003,0.138,0.65,169301.361
2018/11/16_23:13:00,0.0312,0.031287,0.031331,0.031322,0.032197,0.03162989,-1.925,60.138,2.293,0.102,169269.192
2018/11/16_23:13:30,0.0312,0.031289,0.031289,0.031293,0.032197,0.03162973,-2.093,6.397,1.963,2.508,169272.841
2018/11/16_23:14:00,0.0312,0.031284,0.031284,0.031293,0.032197,0.03162955,-2.097,1.618,0.436,3.036,169276.485
2018/11/16_23:14:30,0.0312,0.031269,0.031269,0.031284,0.032197,0.03162918,-2.098,4.557,0.099,6.429,169223.903
2018/11/16_23:15:00,0.0312,0.031266,0.031267,0.031269,0.032197,0.03162876,-2.119,1.294,0.91,1.163,169312.643
2018/11/16_23:15:30,0.0312,0.03129,0.031297,0.031324,0.032197,0.03162852,-1.946,1.915,8.092,4.0,169365.578
2018/11/16_23:16:00,0.0312,0.031306,0.031304,0.031317,0.032197,0.03162835,-1.918,1.084,0.43,1.915,169406.12
2018/11/16_23:16:30,0.0312,0.031318,0.03132,0.03133,0.032197,0.03162825,-1.87,12.396,1.783,2.175,169414.112
2018/11/16_23:17:00,0.0312,0.031325,0.031331,0.031332,0.032197,0.03162811,-1.861,0.757,3.83,10.0,169430.441
2018/11/16_23:17:30,0.0312,0.031326,0.031326,0.03133,0.032197,0.03162793,-1.864,5.448,0.099,6.948,169408.308
2018/11/16_23:18:00,0.0312,0.031326,0.031327,0.031334,0.032197,0.03162779,-1.821,5.051,0.905,18.0,169361.082
2018/11/16_23:18:30,0.0312,0.031337,0.031337,0.031344,0.032197,0.03162753,-1.836,4.394,4.394,9.276,169327.539
2018/11/16_23:19:00,0.0312,0.031338,0.03134,0.031339,0.032197,0.03162732,-1.848,1.508,2.135,0.339,169328.59
2018/11/16_23:19:30,0.0312,0.031362,0.031362,0.031379,0.032197,0.03162715,-1.828,11.912,0.178,1.981,169315.197
2018/11/16_23:20:00,0.0312,0.031376,0.031376,0.03138,0.032197,0.03162697,-1.797,2.485,4.414,2.106,169297.839
2018/11/16_23:20:30,0.0312,0.031354,0.031361,0.031362,0.032197,0.03162678,-1.865,1.82,1.363,6.955,169277.971
2018/11/16_23:21:00,0.0312,0.031361,0.031361,0.031363,0.032197,0.03162656,-1.837,18.169,0.038,0.32,169197.184
2018/11/16_23:21:30,0.0312,0.031376,0.031376,0.031377,0.032197,0.03162644,-1.797,3.078,10.559,0.035,169187.694
